ds,usd
2019-02-02,65.6601
2019-02-03,65.63536666666667
2019-02-04,65.61063333333333
2019-02-05,65.5859
2019-02-06,65.5691
2019-02-07,65.6686
2019-02-08,66.0199
2019-02-09,66.0628
2019-02-10,65.92576666666666
2019-02-11,65.78873333333334
2019-02-12,65.6517
2019-02-13,65.7147
2019-02-14,65.6783
2019-02-15,66.5429
2019-02-16,66.7044
2019-02-17,66.55193333333334
2019-02-18,66.39946666666667
2019-02-19,66.247
2019-02-20,66.2022
2019-02-21,65.8568
2019-02-22,65.5401
2019-02-23,65.5149
2019-02-24,65.42933333333333
2019-02-25,65.34376666666667
2019-02-26,65.2582
2019-02-27,65.6182
2019-02-28,65.757
2019-03-01,65.8895
2019-03-02,65.8145
2019-03-03,65.8082
2019-03-04,65.80189999999999
2019-03-05,65.7956
2019-03-06,65.8004
2019-03-07,65.843
2019-03-08,65.9646
2019-03-09,65.9646
2019-03-10,66.00183333333334
2019-03-11,66.03906666666667
2019-03-12,66.0763
2019-03-13,65.7674
2019-03-14,65.589
2019-03-15,65.4021
2019-03-16,65.4201
2019-03-17,65.16986666666666
2019-03-18,64.91963333333334
2019-03-19,64.6694
2019-03-20,64.3167
2019-03-21,64.2803
2019-03-22,63.742
2019-03-23,63.7705
2019-03-24,64.01343333333334
2019-03-25,64.25636666666666
2019-03-26,64.4993
2019-03-27,64.1683
2019-03-28,64.5925
2019-03-29,64.8012
2019-03-30,64.7347
2019-03-31,64.96233333333333
2019-04-01,65.18996666666666
2019-04-02,65.4176
2019-04-03,65.4726
2019-04-04,65.1639
2019-04-05,65.3281
2019-04-06,65.4072
2019-04-07,65.38806666666667
2019-04-08,65.36893333333333
2019-04-09,65.3498
2019-04-10,64.7766
2019-04-11,64.7373
2019-04-12,64.3991
2019-04-13,64.5171
2019-04-14,64.42703333333333
2019-04-15,64.33696666666667
2019-04-16,64.2469
2019-04-17,64.2422
2019-04-18,63.945
2019-04-19,64.0688
2019-04-20,63.9602
2019-04-21,63.90213333333333
2019-04-22,63.84406666666667
2019-04-23,63.786
2019-04-24,63.7906
2019-04-25,63.9798
2019-04-26,64.6794
2019-04-27,64.7053
2019-04-28,64.70076666666667
2019-04-29,64.69623333333332
2019-04-30,64.6917
2019-05-01,64.6314
2019-05-02,64.6314
2019-05-03,64.6314
2019-05-04,64.6314
2019-05-05,64.86593333333333
2019-05-06,65.10046666666666
2019-05-07,65.335
2019-05-08,65.2166
2019-05-09,65.2287
2019-05-10,65.2287
2019-05-11,65.2287
2019-05-12,65.30923333333334
2019-05-13,65.38976666666666
2019-05-14,65.4703
2019-05-15,65.3001
2019-05-16,64.8489
2019-05-17,64.5598
2019-05-18,64.6327
2019-05-19,64.58473333333333
2019-05-20,64.53676666666667
2019-05-21,64.4888
2019-05-22,64.5372
2019-05-23,64.4156
2019-05-24,64.4913
2019-05-25,64.6106
2019-05-26,64.5616
2019-05-27,64.5126
2019-05-28,64.4636
2019-05-29,64.5394
2019-05-30,64.9084
2019-05-31,65.0583
2019-06-01,65.3834
2019-06-02,65.4405
2019-06-03,65.49759999999999
2019-06-04,65.5547
2019-06-05,65.1614
2019-06-06,65.1243
2019-06-07,65.234
2019-06-08,65.0395
2019-06-09,64.95696666666667
2019-06-10,64.87443333333333
2019-06-11,64.7919
2019-06-12,64.5158
2019-06-13,64.5158
2019-06-14,64.6314
2019-06-15,64.4326
2019-06-16,64.39463333333333
2019-06-17,64.35666666666667
2019-06-18,64.3187
2019-06-19,64.3352
2019-06-20,63.9794
2019-06-21,63.3877
2019-06-22,63.1295
2019-06-23,63.05616666666667
2019-06-24,62.98283333333333
2019-06-25,62.9095
2019-06-26,62.5229
2019-06-27,62.8083
2019-06-28,63.0452
2019-06-29,63.0756
2019-06-30,63.06843333333333
2019-07-01,63.06126666666667
2019-07-02,63.0541
2019-07-03,63.2265
2019-07-04,63.4951
2019-07-05,63.4013
2019-07-06,63.5841
2019-07-07,63.67936666666667
2019-07-08,63.774633333333334
2019-07-09,63.8699
2019-07-10,63.766000000000005
2019-07-11,63.7988
2019-07-12,62.9944
2019-07-13,63.0204
2019-07-14,62.95626666666667
2019-07-15,62.892133333333334
2019-07-16,62.828
2019-07-17,62.8129
2019-07-18,62.9451
2019-07-19,62.8286
2019-07-20,62.8666
2019-07-21,62.9036
2019-07-22,62.9406
2019-07-23,62.9776
2019-07-24,63.129
2019-07-25,63.1162
2019-07-26,63.1572
2019-07-27,63.1271
2019-07-28,63.2584
2019-07-29,63.3897
2019-07-30,63.521
2019-07-31,63.3791
2019-08-01,63.4172
2019-08-02,63.833999999999996
2019-08-03,64.6423
2019-08-04,64.77973333333334
2019-08-05,64.91716666666666
2019-08-06,65.0546
2019-08-07,65.203
2019-08-08,65.0932
2019-08-09,65.1299
2019-08-10,65.2543
2019-08-11,65.31243333333333
2019-08-12,65.37056666666668
2019-08-13,65.4287
2019-08-14,65.6017
2019-08-15,65.2032
2019-08-16,65.8907
2019-08-17,65.9961
2019-08-18,66.20013333333333
2019-08-19,66.40416666666667
2019-08-20,66.6082
2019-08-21,66.78399999999999
2019-08-22,66.263
2019-08-23,65.6196
2019-08-24,65.6046
2019-08-25,65.72756666666668
2019-08-26,65.85053333333333
2019-08-27,65.9735
2019-08-28,66.2608
2019-08-29,66.4127
2019-08-30,66.7471
2019-08-31,66.4897
2019-09-01,66.5343
2019-09-02,66.5789
2019-09-03,66.6235
2019-09-04,66.9072
2019-09-05,66.5002
2019-09-06,66.0528
2019-09-07,65.9981
2019-09-08,65.85533333333333
2019-09-09,65.71256666666666
2019-09-10,65.5698
2019-09-11,65.4393
2019-09-12,65.4321
2019-09-13,65.1909
2019-09-14,64.4711
2019-09-15,64.25646666666667
2019-09-16,64.04183333333333
2019-09-17,63.8272
2019-09-18,64.1213
2019-09-19,64.429
2019-09-20,64.2199
2019-09-21,63.8487
2019-09-22,63.880900000000004
2019-09-23,63.9131
2019-09-24,63.9453
2019-09-25,63.706
2019-09-26,64.1873
2019-09-27,64.2888
2019-09-28,64.4156
2019-09-29,64.49063333333334
2019-09-30,64.56566666666666
2019-10-01,64.6407
2019-10-02,65.067
2019-10-03,65.4399
2019-10-04,65.1312
2019-10-05,65.03
2019-10-06,64.96196666666667
2019-10-07,64.89393333333334
2019-10-08,64.8259
2019-10-09,64.8672
2019-10-10,65.0976
2019-10-11,64.7416
2019-10-12,64.2237
2019-10-13,64.27086666666666
2019-10-14,64.31803333333333
2019-10-15,64.3652
2019-10-16,64.2548
2019-10-17,64.3455
2019-10-18,64.0144
2019-10-19,63.9542
2019-10-20,63.88966666666666
2019-10-21,63.82513333333333
2019-10-22,63.7606
2019-10-23,63.6336
2019-10-24,63.7997
2019-10-25,63.86
2019-10-26,63.9966
2019-10-27,63.9544
2019-10-28,63.9122
2019-10-29,63.87
2019-10-30,63.832
2019-10-31,63.8734
2019-11-01,63.7748
2019-11-02,64.0316
2019-11-03,64.0316
2019-11-04,64.0316
2019-11-05,64.0316
2019-11-06,63.248000000000005
2019-11-07,63.588
2019-11-08,63.7298
2019-11-09,63.7295
2019-11-10,63.79036666666667
2019-11-11,63.85123333333333
2019-11-12,63.9121
2019-11-13,63.853
2019-11-14,64.2009
2019-11-15,64.2101
2019-11-16,63.8881
2019-11-17,63.843466666666664
2019-11-18,63.798833333333334
2019-11-19,63.7542
2019-11-20,63.773
2019-11-21,64.0213
2019-11-22,63.843
2019-11-23,63.7101
2019-11-24,63.72796666666667
2019-11-25,63.74583333333333
2019-11-26,63.7637
2019-11-27,64.0239
2019-11-28,63.9722
2019-11-29,64.1005
2019-11-30,64.0817
2019-12-01,64.19103333333334
2019-12-02,64.30036666666666
2019-12-03,64.4097
2019-12-04,64.1401
2019-12-05,64.1948
2019-12-06,63.8135
2019-12-07,63.7185
2019-12-08,63.72046666666667
2019-12-09,63.722433333333335
2019-12-10,63.7244
2019-12-11,63.5788
2019-12-12,63.5653
2019-12-13,63.2257
2019-12-14,62.5544
2019-12-15,62.6258
2019-12-16,62.6972
2019-12-17,62.7686
2019-12-18,62.5326
2019-12-19,62.5831
2019-12-20,62.5283
2019-12-21,62.4071
2019-12-22,62.3547
2019-12-23,62.302299999999995
2019-12-24,62.2499
2019-12-25,62.1673
2019-12-26,61.7164
2019-12-27,61.7676
2019-12-28,62.0315
2019-12-29,61.98956666666667
2019-12-30,61.947633333333336
2019-12-31,61.9057
2020-01-01,61.9057
2020-01-02,61.9057
2020-01-03,61.9057
2020-01-04,61.9057
2020-01-05,61.9057
2020-01-06,61.9057
2020-01-07,61.9057
2020-01-08,61.9057
2020-01-09,61.9057
2020-01-10,61.233999999999995
